doi,title,author,variable,region,model,climate.scenario,value,estimation.year,unit,focus,study,publication.date
,how can we cope with the water resources situation by the year 2050?,falkenmark and lindh (1974),iww,global,,,5850,2015,km3/year,projected,falkenmark and lindh (1974).NA.NA,1974
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.MIROC.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6,3258.996,2040,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6,3239.712,2070,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP2.6,3265.424,2100,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,3258.996,2040,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,3291.136,2070,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,3303.992,2100,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,3278.28,2040,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,3368.272,2070,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,3535.4,2100,km3/year,projected,hanasaki (2012).H08.MIROC.HUM-Fix-RCP2.6HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.HadGEM.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP2.6,3242.926,2040,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP2.6,3213.96786,2070,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP2.6,3207.572,2100,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP4.5,3233.284,2040,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP4.5,3268.638,2070,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP4.5,3275.066,2100,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP8.5,3242.926,2040,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP8.5,3307.206,2070,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM.HUM-Fix-RCP8.5,3429.338,2100,km3/year,projected,hanasaki (2012).H08.HadGEM.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.GFDL.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP2.6,3271.852,2040,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP2.6,3278.28,2070,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP2.6,3249.354,2100,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP2.6,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP4.5,3287.922,2040,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP4.5,3287.922,2070,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP4.5,3291.136,2100,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP4.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP8.5,3268.638,2040,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP8.5,3336.132,2070,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.HUM-Fix-RCP8.5,3442.194,2100,km3/year,projected,hanasaki (2012).H08.GFDL.HUM-Fix-RCP8.5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.MIROC.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP1,3204,2070,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP-2,4175,2070,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP3,6091,2070,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP4,3781,2070,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP5,5162,2070,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP1,3208,2100,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP-2,4921,2100,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP3,8595,2100,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP4,4139,2100,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.BAU-SSP5,6663,2100,km3/year,projected,hanasaki (2012).H08.MIROC.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP1,3137,2070,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP2,4077,2070,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP3,5986,2070,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP4,3702,2070,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP5,5073,2070,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP5,2012
